met,njets,nbjets,nnonbjets,top1mass,sumet,antikt8m0,antikt8m1,antikt12m0,antikt12m1,drbb
522.7039794921875,2,6,4,149.66746520996094,1332.5521240234375,139.97979736328125,87.74811553955078,139.97979736328125,87.74811553955078,1.25863516330719,0
511.1380615234375,2,8,6,-279.7595520019531,1551.4918212890625,169.04010009765625,79.75605010986328,248.20452880859375,79.75605010986328,1.4656914472579956,0
416.12750244140625,2,6,4,154.11273193359375,1296.2904052734375,130.38662719726562,92.349853515625,130.38662719726562,132.20098876953125,0.49220094084739685,0
875.8500366210938,2,8,6,-274.0176696777344,2466.234130859375,179.59071350097656,146.49484252929688,645.1578979492188,25.53108787536621,0.5252912640571594,0
614.2783203125,2,6,4,-134.85662841796875,1155.6312255859375,230.6998291015625,72.73918151855469,289.169921875,72.73918151855469,3.851858139038086,0
874.3965454101562,2,6,4,79.13246154785156,1563.9942626953125,130.8351593017578,131.22021484375,130.8351593017578,131.22021484375,0.7349499464035034,0
511.12890625,2,8,6,-575.674072265625,1611.3404541015625,188.06431579589844,118.41658020019531,595.216552734375,118.41658020019531,0.5983977913856506,0
636.1485595703125,2,7,5,84.22753143310547,1361.3013916015625,163.74362182617188,75.27943420410156,334.3746032714844,75.27943420410156,0.896247386932373,0
423.1996765136719,2,8,6,-523.3494873046875,1296.0859375,130.37782287597656,69.40080261230469,130.37782287597656,69.40080261230469,4.056820869445801,0
618.11181640625,2,10,8,-174.74424743652344,2080.845947265625,165.7755889892578,156.7485809326172,165.7755889892578,221.49606323242188,0.7399611473083496,0
687.5865478515625,2,6,4,-1129.7552490234375,2504.7626953125,60.69717025756836,157.3758544921875,289.8277587890625,157.3758544921875,0.9101943969726562,0
542.8850708007812,2,5,3,-403.6000671386719,1133.795166015625,149.84922790527344,81.89359283447266,149.84922790527344,81.89359283447266,0.45421844720840454,0
830.823974609375,2,6,4,-42.3409309387207,2629.630126953125,306.5702209472656,131.25772094726562,306.5702209472656,131.25772094726562,0.47608116269111633,0
538.38916015625,2,7,5,123.83860778808594,1645.4659423828125,111.74449157714844,94.96129608154297,292.7183837890625,94.96129608154297,3.4382519721984863,0
1188.0872802734375,2,4,2,-893.7833862304688,1518.1390380859375,70.36943817138672,274.4234313964844,561.216796875,18.377885818481445,0.7998695969581604,0
530.212158203125,2,9,7,-532.5368041992188,2069.94580078125,75.77259826660156,116.35833740234375,259.3132629394531,238.27757263183594,1.6469675302505493,0
841.80419921875,2,7,5,-84.04422760009766,1952.2640380859375,247.18649291992188,117.31532287597656,247.18649291992188,165.98541259765625,0.41135653853416443,0
593.560302734375,2,5,3,-404.5936279296875,1414.771240234375,187.26870727539062,106.17466735839844,187.26870727539062,106.17466735839844,0.47019636631011963,0
419.939453125,2,6,4,-47.2119026184082,1514.36376953125,208.18777465820312,69.8917465209961,208.18777465820312,69.8917465209961,0.5410017967224121,0
503.4433288574219,2,8,6,-68.25667572021484,2459.89111328125,167.21730041503906,132.79904174804688,167.21730041503906,194.97311401367188,1.8218387365341187,0
451.30126953125,2,9,7,-935.5343627929688,1506.5257568359375,121.9708480834961,91.55166625976562,121.9708480834961,152.7731475830078,0.4282403588294983,0
549.7432250976562,2,4,2,-573.1643676757812,1230.4078369140625,216.05804443359375,66.68075561523438,216.05804443359375,66.68075561523438,1.4778780937194824,0
421.0880126953125,2,5,3,-125.50055694580078,1048.386962890625,140.62353515625,131.34286499023438,140.62353515625,131.34286499023438,0.7881690859794617,0
420.32928466796875,2,9,7,-441.0613708496094,1426.10546875,149.05914306640625,95.06835174560547,149.05914306640625,95.06835174560547,0.6609393358230591,0
452.0352783203125,2,7,5,-1087.1007080078125,1608.614990234375,129.3836212158203,82.11639404296875,129.3836212158203,82.11639404296875,2.948974132537842,0
468.20880126953125,2,5,3,-62.57051467895508,1359.27978515625,122.7881088256836,66.3102035522461,122.7881088256836,150.92611694335938,0.8241506814956665,0
476.318603515625,2,5,3,-1385.4215087890625,2288.67333984375,192.09803771972656,95.8868179321289,192.09803771972656,230.53797912597656,3.2725231647491455,0
460.5014953613281,2,7,5,166.89889526367188,1240.4658203125,175.4617919921875,86.72998046875,175.4617919921875,86.72998046875,0.6388737559318542,0
889.8631591796875,2,6,4,-101.6264419555664,1948.9078369140625,147.37721252441406,78.84761810302734,147.37721252441406,78.84761810302734,0.5092095136642456,0
477.45550537109375,3,9,6,172.52076721191406,2026.0472412109375,161.80416870117188,118.02433776855469,311.5820007324219,108.08911895751953,3.5178732872009277,0
